127.0.0.1 - - [18/Sep/2017:09:43:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:29 +0530] "GET /MyCollaborationApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:29 +0530] "GET /MyCollaborationApp/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/header_images.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/njob.jpg HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/Blog1.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/friend.jpg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/chat.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:32 +0530] "GET /MyCollaborationApp/images/green-stars.jpg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:43:33 +0530] "GET /CollaborationBackend/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /CollaborationBackend/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/njob.jpg HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/header_images.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/Blog1.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/friend.jpg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/chat.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Sep/2017:09:47:40 +0530] "GET /MyCollaborationApp/images/green-stars.jpg HTTP/1.1" 404 1076
